company,symbol,status,thesis_status,data_quality,valuation,momentum,key_driver,kill_point,next_catalyst,confidence
"SK Hynix","000660.KS","active","confirmed; hard NVIDIA partnership; HBM4E sampling signal positive but economics open","Jun-19 delayed KRX data from StockAnalysis; FX/portfolio/5-session broker history incomplete","optically plausible forward PE 7.42; timing strong but crowded","Jun-19 delayed +2.20%; near high area; HBM4E sample news adds product/customer momentum","HBM prices/yields/customer qualification/margins visibly turn or Samsung/Micron allocation materially displaces SK Hynix","verify HBM4E primary/Reuters detail; Micron Q3 2026-06-24 readthrough; SK Hynix next checkpoint","high thesis; medium timing"
"Micron","MU","active","confirmed; Q3 decisive; Bechtel/NY capacity signal long-term positive","Jun-18 US close and after-hours from StockAnalysis; Jun-19 US market holiday; full portfolio/FX/position data incomplete","plausible if margins/EPS confirm; forward PE 11.16","Jun-18 close +8.70%; AH +1.58%; Apple/memory-cost readthrough raises event bar","US HBM/DRAM/LPDDR exposure; DRAM tightness; AI-cloud demand readthrough","Q3 fails to confirm HBM ramp/margins/2027 visibility or allocation weakens versus SK Hynix/Samsung","FY2026 Q3 2026-06-24","high core thesis; medium timing; high event bar"
"SanDisk","SNDK","active","confirmed; highest NAND beta risk; Mizuho detail still soft; overheat watch active","Jun-18 US close and after-hours fresh; Jun-19 US market holiday; Mizuho transcript summary only; bucket overlap with Kioxia","plausible only with strong NAND/SSD margins; forward PE 13.09","Jun-18 close +11.54%; AH +1.12%; extreme beta/overheat setup","NAND/Enterprise-SSD pricing, LTAs, datacenter growth","NAND/Enterprise-SSD prices or margins fall despite AI demand","direct SanDisk economics; Kioxia Securities Report 2026-06-24","medium-high thesis; medium timing; bucket risk high"
"Kioxia","285A.T","active since 2026-06-02","positive; active NAND/Enterprise-SSD position; bucket with SanDisk; HPE Discover stayed soft","Jun-19 delayed TSE data fresh; FX/FCF/JV gaps remain","forward PE 10.24 but highly cyclical","Jun-19 delayed +5.42%; extended after HPE Discover without hard economics","AI-inference storage, datacenter SSD mix, LTAs, BiCS10/CBA","NAND prices/margins fall; capex creates oversupply; FCF weak","Securities Report 2026-06-24","medium-high quality; medium timing/risk; overheat watch"
"Seagate","STX","sold_watch","HDD/Nearline positive watch; not reactivated","Jun-18 US close and after-hours fresh; Jun-19 US market holiday","demanding for HDD; forward PE 44.17 needs FCF/EPS proof","Jun-18 close +0.04%; AH +0.52%","Nearline scarcity, cost/TB, HAMR/Mozaic, FCF","lead times normalize; margins/FCF fall; SSD cost pressure","primary transcript/earnings check","medium watch; low re-entry without hard data"
"Western Digital","WDC","watch","HDD/Nearline reactivation watch; relative strength but primary proof still missing","Jun-18 US close and after-hours fresh; Jun-19 US market holiday","demanding for HDD/Nearline; forward PE 47.32","Jun-18 close +0.65%; AH +1.05%","Nearline exabytes, LTAs, ASPs, FCF","SSD/NAND price drops or HDD margin break weaken cost/TB thesis","primary transcript/earnings check","medium watch; strongest HDD tape"
"Marvell","MRVL","primary follow-on watch","Wave-3 custom silicon/networking candidate; opportunity-cost proof still missing","Jun-18 close fresh; Jun-19 US market holiday; finance/design-win proof open","high despite rebound; forward PE 68.53","Jun-18 close +2.40%; AH +0.94%","Custom AI silicon, Teralynx, interconnect/optics","no design wins, margin/EPS revisions, or customer breadth","S&P inclusion Jun-22; design-win/margin/EPS follow-up","medium thesis; low-medium immediate entry"
"Arista","ANET","watch","AI Ethernet/fabric watch; resilient but proof still missing","Jun-18 close fresh; Jun-19 US market holiday","forward PE 44.96; needs cloud order/margin proof","Jun-18 close +1.72%; AH -0.34%","AI Ethernet/fabric, cloud orders, 1.6T products","cloud orders or margins disappoint; valuation outruns EPS","AI/cloud order follow-up; KeyBanc low-weight watch","medium watch"
"Broadcom","AVGO","priority_watch","custom silicon and networking demand confirmed, but opportunity-cost proof mixed","Jun-18 close fresh; Jun-19 US market holiday; customer economics not fully verified","forward PE 26.13; cheaper than many AI follow-ons but still needs FCF/margins","Jun-18 close +1.16%; AH flat","custom ASICs, networking, Anthropic infrastructure watch","AI revenue/design wins or margins disappoint; customer concentration risk rises","post-Q2 estimate revisions; Anthropic/Broadcom infrastructure economics; debt/tender context","medium-high watch"
"Amkor Technology","AMKR","watch","advanced packaging follow-on improved by TSMC partnership; not direct memory proof","Jun-18 close fresh; Jun-19 US market holiday; partnership economics open","forward PE 41.50; needs order/margin/EPS readthrough","Jun-18 close +4.66%; AH +0.93%","advanced packaging capacity and localization","partnership lacks economics or margin/EPS impact","TSMC/Amkor 10-year partnership details","medium watch"
"Vertiv","VRT","watch","power/cooling follow-on strong; high valuation keeps proof bar high","Jun-18 close fresh; Jun-19 US market holiday; order/backlog proof open","forward PE 48.80","Jun-18 close +1.49%; AH +1.13%","datacenter power and cooling demand","orders, backlog, margins or EPS disappoint despite strong tape","orders/backlog/liquid cooling; ThermoKey integration","medium watch"
"SpaceX","SPCX","background","public-market AI/space/capital-markets variable; not a depot/watch core value yet","StockAnalysis quote exists; Nasdaq/issuer filing verification still pending","market cap shown by data provider but primary valuation/float unverified","Jun-18 close USD 185.00 (-3.56%); no forward PE","Starlink, launch dominance, xAI/space AI infrastructure, public-market liquidity","valuation/float/index mechanics distort AI capital allocation or primary filings contradict media economics","Nasdaq/issuer filing verification; index inclusion and first post-IPO financial disclosures","low for investment thesis; medium for crowding context"
